id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3466,KCRP,medium_airport,Corpus Christi International Airport,27.770399,-97.501198,44,NA,United States,US,Texas,US-TX,TX,Corpus Christi,1,KCRP,CRP,CRP,,https://en.wikipedia.org/wiki/Corpus_Christi_International_Airport,,750,2021-11-20T15:35:15+00:00
3467,KCRW,medium_airport,Yeager Airport,38.3731,-81.593201,981,NA,United States,US,West Virginia,US-WV,WV,Charleston,1,KCRW,CRW,CRW,,https://en.wikipedia.org/wiki/Yeager_Airport,,750,2021-11-20T16:31:05+00:00
3468,KCSG,medium_airport,Columbus Metropolitan Airport,32.5163002,-84.93890381,397,NA,United States,US,Georgia,US-GA,GA,Columbus,1,KCSG,CSG,CSG,,https://en.wikipedia.org/wiki/Columbus_Metropolitan_Airport,,750,2008-06-13T14:30:04+00:00
3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,896,NA,United States,US,Kentucky,US-KY,KY,Cincinnati / Covington,1,KCVG,CVG,CVG,https://www.cvgairport.com/,https://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport,,1029475,2023-08-15T23:40:32+00:00
19571,KCWA,medium_airport,Central Wisconsin Airport,44.77759933,-89.66680145,1277,NA,United States,US,Wisconsin,US-WI,WI,Mosinee,0,KCWA,CWA,CWA,,,,250,2014-02-18T22:20:21+00:00
3478,KDAB,medium_airport,Daytona Beach International Airport,29.179899,-81.058098,34,NA,United States,US,Florida,US-FL,FL,Daytona Beach,1,KDAB,DAB,DAB,,https://en.wikipedia.org/wiki/Daytona_Beach_International_Airport,,750,2021-08-01T05:30:32+00:00
3479,KDAL,medium_airport,Dallas Love Field,32.847099,-96.851799,487,NA,United States,US,Texas,US-TX,TX,Dallas,1,KDAL,DAL,DAL,http://www.dallas-lovefield.com/,https://en.wikipedia.org/wiki/Dallas_Love_Field,QDF,750,2021-11-21T14:57:51+00:00
3481,KDAY,medium_airport,James M Cox Dayton International Airport,39.902401,-84.219398,1009,NA,United States,US,Ohio,US-OH,OH,Dayton,1,KDAY,DAY,DAY,,https://en.wikipedia.org/wiki/Dayton_International_Airport,,750,2021-11-20T16:28:58+00:00
3482,KDBQ,medium_airport,Dubuque Regional Airport,42.402,-90.709503,1077,NA,United States,US,Iowa,US-IA,IA,Dubuque,1,KDBQ,DBQ,DBQ,,https://en.wikipedia.org/wiki/Dubuque_Regional_Airport,,750,2022-03-04T14:31:05+00:00
3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,NA,United States,US,District of Columbia,US-DC,DC,Washington,1,KDCA,DCA,DCA,http://www.flyreagan.com/dca/reagan-national-airport,https://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport,WAS,1016175,2016-12-13T09:13:00+00:00
3486,KDEN,large_airport,Denver International Airport,39.86169815,-104.6729965,5431,NA,United States,US,Colorado,US-CO,CO,Denver,1,KDEN,DEN,DEN,http://www.flydenver.com/,https://en.wikipedia.org/wiki/Denver_International_Airport,"DVX, KVDX",1103275,2015-11-13T09:28:42+00:00
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,NA,United States,US,Texas,US-TX,TX,Dallas-Fort Worth,1,KDFW,DFW,DFW,https://www.dfwairport.com/,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport,QDF,1203175,2018-09-19T14:53:02+00:00
3489,KDHN,medium_airport,Dothan Regional Airport,31.32130051,-85.44960022,401,NA,United States,US,Alabama,US-AL,AL,Dothan,1,KDHN,DHN,DHN,,https://en.wikipedia.org/wiki/Dothan_Regional_Airport,,750,2008-06-13T14:30:04+00:00
19630,KDIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,46.79740143,-102.802002,2592,NA,United States,US,North Dakota,US-ND,ND,Dickinson,0,KDIK,DIK,DIK,http://dickinsonairport.com/,https://en.wikipedia.org/wiki/Dickinson_Theodore_Roosevelt_Regional_Airport,,250,2012-07-19T21:06:58+00:00
5351,PADL,medium_airport,Dillingham Airport,59.04470062,-158.5050049,81,NA,United States,US,Alaska,US-AK,AK,Dillingham,1,PADL,DLG,DLG,,https://en.wikipedia.org/wiki/Dillingham_Airport,,750,2010-01-23T11:28:10+00:00
3491,KDLH,medium_airport,Duluth International Airport,46.842098,-92.193604,1428,NA,United States,US,Minnesota,US-MN,MN,Duluth,1,KDLH,DLH,DLH,http://www.duluthairport.com/,https://en.wikipedia.org/wiki/Duluth_International_Airport,"LKI, Duluth Air National Guard Base, Lakeside AFB",750,2022-01-28T17:34:15+00:00
19655,KDRT,medium_airport,Del Rio International Airport,29.37420082,-100.927002,1002,NA,United States,US,Texas,US-TX,TX,Del Rio,0,KDRT,DRT,DRT,http://www.cityofdelrio.com/index.aspx?NID=412,https://en.wikipedia.org/wiki/Del_Rio_International_Airport,,250,2012-08-16T18:51:32+00:00
